"DATE","LAT","LON","SST"
2016-06-06T02:50:00.000Z,   6.02,  99.98,  32.90
2016-06-07T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-06-08T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-06-09T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-06-10T02:54:59.000Z,   6.02,  99.98,  32.39
2016-06-11T02:59:59.000Z,   6.02,  99.98,  30.99
2016-06-12T02:45:00.000Z,   6.02,  99.98,  31.23
2016-06-13T02:54:59.000Z,   6.02,  99.98,  32.00
2016-06-14T02:29:59.000Z,   6.02,  99.98, -32767.00
2016-06-15T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-06-16T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-06-17T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-06-18T02:09:59.000Z,   6.02,  99.98, -32767.00
2016-06-19T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-06-20T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-06-21T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-06-22T02:50:00.000Z,   6.02,  99.98, -32767.00
2016-06-23T02:25:00.000Z,   6.02,  99.98, -32767.00
2016-06-24T02:40:00.000Z,   6.02,  99.98,  31.58
2016-06-25T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-06-26T02:54:59.000Z,   6.02,  99.98,  31.84
2016-06-27T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-06-28T02:45:00.000Z,   6.02,  99.98, -32767.00
2016-06-29T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-06-30T02:29:59.000Z,   6.02,  99.98, -32767.00
2016-07-01T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-07-02T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-07-03T03:00:00.000Z,   6.02,  99.98,  32.12
2016-07-04T02:04:59.000Z,   6.02,  99.98,  31.83
2016-07-05T02:49:59.000Z,   6.02,  99.98,  31.30
2016-07-06T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-07-07T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-07-08T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-07-09T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-07-10T02:40:00.000Z,   6.02,  99.98,  31.28
2016-07-11T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-07-12T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-07-13T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-07-14T02:45:00.000Z,   6.02,  99.98, -32767.00
2016-07-15T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-07-16T02:29:59.000Z,   6.02,  99.98,  32.08
2016-07-17T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-07-18T02:19:59.000Z,   6.02,  99.98, -32767.00
2016-07-19T03:00:00.000Z,   6.02,  99.98, -32767.00
2016-07-20T02:04:59.000Z,   6.02,  99.98, -32767.00
2016-07-21T02:49:59.000Z,   6.02,  99.98, -32767.00
2016-07-22T02:59:59.000Z,   6.02,  99.98, -32767.00
2016-07-23T02:39:59.000Z,   6.02,  99.98, -32767.00
2016-07-24T02:49:59.000Z,   6.02,  99.98,  30.76
2016-07-25T02:24:59.000Z,   6.02,  99.98, -32767.00
2016-07-26T02:40:00.000Z,   6.02,  99.98, -32767.00
2016-07-27T02:15:00.000Z,   6.02,  99.98, -32767.00
2016-07-28T02:54:59.000Z,   6.02,  99.98, -32767.00
2016-07-29T03:00:00.000Z,   6.02,  99.98,  31.12
2016-07-30T02:44:59.000Z,   6.02,  99.98, -32767.00
2016-07-31T02:55:00.000Z,   6.02,  99.98,  32.51
2016-08-01T02:30:00.000Z,   6.02,  99.98,  31.52
